#source: https://www.kaggle.com/nathanlauga/nba-games
SEASON|DATE|TEAM_home|TEAM_away|PTS_home|PTS_away|REB_home|REB_away|AST_home|AST_away|FG3_PCT_home|FG3_PCT_away
2019|2020-03-07|Cleveland Cavaliers|Denver Nuggets|104|102|39|33|32|28|42.9|40.6
2019|2020-03-07|Memphis Grizzlies|Atlanta Hawks|118|101|58|46|27|23|36.4|26.5
2019|2020-03-07|Golden State Warriors|Philadelphia 76ers|118|114|35|41|30|29|36.0|38.2
2019|2020-03-07|Portland Trail Blazers|Sacramento Kings|111|123|41|47|22|30|25.6|53.8
2019|2020-03-06|Washington Wizards|Atlanta Hawks|118|112|38|36|24|25|48.4|37.5
2019|2020-03-06|Brooklyn Nets|San Antonio Spurs|139|120|52|38|32|25|41.7|29.4
2019|2020-03-06|New York Knicks|Oklahoma City Thunder|103|126|48|38|19|26|16.7|38.7
2019|2020-03-06|Boston Celtics|Utah Jazz|94|99|45|40|19|23|27.8|37.8
2019|2020-03-06|Chicago Bulls|Indiana Pacers|102|108|45|46|27|24|23.7|36.4
2019|2020-03-06|Minnesota Timberwolves|Orlando Magic|118|132|36|45|30|31|27.0|33.3
2019|2020-03-06|New Orleans Pelicans|Miami Heat|110|104|53|45|28|27|36.8|27.3
2019|2020-03-06|Dallas Mavericks|Memphis Grizzlies|121|96|48|47|30|29|38.3|30.0
2019|2020-03-06|Phoenix Suns|Portland Trail Blazers|127|117|47|39|29|26|45.2|40.6
2019|2020-03-06|Los Angeles Lakers|Milwaukee Bucks|113|103|52|45|19|22|18.8|27.9
2019|2020-03-05|Charlotte Hornets|Denver Nuggets|112|114|34|38|24|29|39.4|30.8
2019|2020-03-05|Houston Rockets|Los Angeles Clippers|105|120|51|57|19|22|16.7|32.5
2019|2020-03-05|Sacramento Kings|Philadelphia 76ers|108|125|37|45|23|24|37.9|45.9
2019|2020-03-05|Golden State Warriors|Toronto Raptors|113|121|52|39|34|28|26.9|31.7
2019|2020-03-04|Cleveland Cavaliers|Boston Celtics|106|112|50|49|24|16|34.2|36.7
2019|2020-03-04|Detroit Pistons|Oklahoma City Thunder|107|114|36|33|27|25|41.9|41.7
2019|2020-03-04|Milwaukee Bucks|Indiana Pacers|119|100|56|39|26|22|28.3|25.9
2019|2020-03-04|Miami Heat|Orlando Magic|116|113|36|35|31|28|50.0|43.3
2019|2020-03-04|Brooklyn Nets|Memphis Grizzlies|79|118|42|59|15|21|16.7|45.5
2019|2020-03-04|New York Knicks|Utah Jazz|104|112|42|37|23|26|35.0|27.8
2019|2020-03-04|Minnesota Timberwolves|Chicago Bulls|115|108|43|40|27|24|44.2|36.7
2019|2020-03-04|Dallas Mavericks|New Orleans Pelicans|127|123|49|52|30|28|44.0|37.0
2019|2020-03-04|Portland Trail Blazers|Washington Wizards|125|104|47|48|24|27|41.9|31.4
2019|2020-03-03|Charlotte Hornets|San Antonio Spurs|103|104|46|33|25|25|41.4|34.4
2019|2020-03-03|Boston Celtics|Brooklyn Nets|120|129|42|63|24|22|30.6|28.6
2019|2020-03-03|New Orleans Pelicans|Minnesota Timberwolves|134|139|44|42|37|31|35.9|41.2
2019|2020-03-03|Oklahoma City Thunder|Los Angeles Clippers|94|109|43|41|16|19|32.1|30.6
2019|2020-03-03|Denver Nuggets|Golden State Warriors|100|116|53|35|22|31|15.0|43.9
2019|2020-03-03|Phoenix Suns|Toronto Raptors|114|123|35|47|30|17|38.5|41.2
